"Table CE1.1  Summary Household Site Consumption and Expenditures in the U.S. - Totals and Intensities, 2009",,,,,,,,,
"                         British Thermal Units (Btu) and Dollars, Final",,,,,,,,,
,,Site Energy Consumption2,,,,Energy Expenditures2,,,
2 Persons,35.8,3.248,90.7,45.4,43.3,73.03,"2,040","1,020",0.97
3 Persons,18.1,1.779,98.4,32.8,47.9,40.19,"2,223",741,1.08
4 Persons,15.7,1.674,106.4,26.6,45.9,38.47,"2,446",611,1.05
5 Persons,7.7,0.856,110.9,22.2,47.6,19.65,"2,545",509,1.09
6 or More Persons,5.0,0.568,113.6,16.9,47.4,13.13,"2,627",391,1.09
,,,,,,,,,
2009 Annual Household Income,,,,,,,,,
"Less than $20,000",23.7,1.669,70.3,33.5,54.3,37.27,"1,571",749,1.21
"$20,000 to $39,999",27.5,2.143,77.9,32.2,49.0,47.74,"1,736",718,1.09
"$40,000 to $59,000",21.2,1.853,87.5,32.8,44.6,41.86,"1,976",742,1.01
"$60,000 to $79,999",14.2,1.323,93.3,34.6,44.1,29.87,"2,106",782,1.00
"$80,000 to $99,999",9.3,0.960,103.2,34.8,42.5,21.74,"2,340",790,0.96
"$100,000 to $119,999",5.7,0.648,113.4,37.8,39.8,14.70,"2,572",856,0.90
"$120,000 or More",12.0,1.588,132.2,43.3,40.6,36.78,"3,062","1,004",0.94
,,,,,,,,,
Income Relative to Poverty Line7,,,,,,,,,
Below 100 Percent,16.9,1.248,74.0,26.1,55.0,28.19,"1,671",589,1.24
100 to 150 Percent,11.3,0.872,77.4,26.7,54.8,19.33,"1,717",591,1.21
Above 150 Percent,85.5,8.063,94.3,38.1,43.5,182.43,"2,134",862,0.98
,,,,,,,,,
Payment Method for Energy Bills,,,,,,,,,
All Paid by Household,101.0,9.277,91.9,34.9,43.8,209.96,"2,079",789,0.99
"Some Paid, Some in Rent",6.2,0.404,65.3,31.8,74.5,8.65,"1,401",682,1.60
All Included in Rent,4.3,0.269,62.6,32.6,74.9,5.90,"1,374",715,1.64
Other Method,2.2,0.234,107.4,44.5,73.8,5.44,"2,500","1,036",1.72
,,,,,,,,,
,,,,,,,,,
"     1Includes all primary occupied housing units in the 50 States and the District of Columbia. Vacant housing units, seasonal units, second homes, military housing, and group quarters are excluded.
     2Data in these tables represent site or delivered energy. Consumption and expenditures for biomass (e.g. wood), coal, and solar are excluded. See RECS Terminology (http://www.eia.gov/consumption/residential/terminology.cfm) for further explanation of these terms.
     3Housing units are classified as urban or rural using definitions created by the U.S. Census Bureau, which are publically available through 2009 TIGER/Line Shapefiles.
     4These climate regions were created by the Building America program, sponsored by the U.S. Department of Energy’s Office of Energy and Efficiency and Renewable Energy (EERE).
     5Rented includes households that occupy their primary housing unit without payment of rent.
     6Total square footage includes all basements, finished or conditioned (heated or cooled) areas of attics, and conditioned garage space that is attached to the home. Unconditioned and unfinished areas in attics and attached garages are excluded.
     7To determine the number of households below the poverty line, the annual household income and number of household members were compared to the 2009 Poverty Guidelines for families published by the U.S. Department of Health and Human Services.
     Q = Data withheld either because the Relative Standard Error (RSE) was greater than 50 percent or fewer than 10 households were sampled.
     N = No cases in reporting sample.
     Notes:  ? Because of rounding, data may not sum to totals.
     Source:  Energy Information Administration, Office of Energy Consumption and Efficiency Statistics, Forms EIA-457 A and C-G of the 2009 Residential Energy Consumption Survey.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
