"Data release date: March 2023
Revised data release date: March 2024",,,,,,,,,
Some other method,0.16,14,87.8,42.0,61.8,0.26,"1,646",787,1.16
Main heating fuel,,,,,,,,,
Natural gas,62.71,"5,996",95.6,38.1,48.2,122.40,"1,952",777,0.98
Electricity,42.57,"2,081",48.9,20.7,31.6,70.13,"1,647",697,1.06
Fuel oil or kerosene,4.93,547,110.8,46.1,51.5,14.51,"2,941","1,222",1.37
Propane,5.21,512,98.2,41.3,43.7,13.94,"2,675","1,123",1.19
Wood,2.25,115,50.9,20.3,25.6,3.77,"1,676",669,0.84
Some other fuelg,Q,Q,Q,Q,Q,Q,Q,Q,Q
Does not use heating equipment,5.79,229,39.5,15.1,31.1,7.94,"1,371",522,1.08
,,,,,,,,,
"Data source: U.S. Energy Information Administration, Office of Energy Demand and Integrated Statistics, Forms EIA-457A, D, E, F, & G of the 2020 Residential Energy Consumption Survey
Notes:  Because of rounding, data may not sum to totals.  See RECS Terminology for definition of terms used in these tables. 
Btu = British thermal units
a Consumption and expenditures for biomass (wood), coal, district steam, and solar thermal are excluded. Electricity consumption from on-site solar photovoltaic generation (that is, solar panels) is included.
b Total U.S. includes all primary occupied housing units in the 50 states and the District of Columbia. Vacant housing units, seasonal units, second homes, military houses, and group quarters are excluded.
c Housing units are classified using criteria created by the U.S. Census Bureau based on 2010 Census data. Urbanized areas are densely settled groupings of blocks or tracts with 50,000 or more people, while urban clusters have at least 2,500 but less than 50,000 people. All other areas are rural.
d The Building America program, sponsored by the U.S. Department of Energy’s Office of Energy Efficiency and Renewable Energy (EERE), created these climate regions. We combined climate regions for this publication. The Subarctic region is included with data for Very-cold/Cold.
e Rented includes households that occupy their primary housing units without paying rent.
f Total square footage includes all basements, finished or conditioned (heated or cooled) areas of attics, and conditioned garage space that is attached to the home. Unconditioned and unfinished areas in attics and attached garages are excluded. The square footage of the home is based on respondent reports. Previous RECS cycles calculated square footage based on interviewer measurements. For households that did not report an exact square footage estimate, the square footage of the home was imputed based on a reported square footage range and/or characteristics of the home. See 2020 RECS Square Footage Methodology for full details about data collection and processing.
g Some other fuel includes coal and district steam.
Q = Data withheld because either the relative standard error (RSE) was greater than 50% or fewer than 10 households in reporting sample.
N = No households in reporting sample.          ",,,,,,,,,
