"Table US1.   Total Energy Consumption, Expenditures, and Intensities, 2005 
                     Part 1: Housing Unit Characteristics and Energy Usage Indicators",,,,,,,,,,,,,,,,,,,,
Florida,7.0,2.51,"1,869",0.42,60.0,23.9,32.1,11.85,"1,681",670,0.90,,,,,,,,,
Texas,8.0,2.76,"2,168",0.65,81.5,29.5,37.6,16.36,"2,051",743,0.95,,,,,,,,,
California,12.1,2.75,"1,607",0.81,67.1,24.4,41.7,16.89,"1,396",507,0.87,,,,,,,,,
All Other States,76.9,2.51,"2,307",7.82,101.8,40.5,44.1,138.83,"1,806",719,0.78,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Urban/Rural Location (as Self-Reported),,,,,,,,,,,,,,,,,,,,
City,47.1,2.53,"1,781",4.02,85.3,33.7,47.9,75.36,"1,599",632,0.90,,,,,,,,,
Town,19.0,2.58,"2,167",1.94,102.3,39.7,47.2,35.00,"1,845",717,0.85,,,,,,,,,
Suburbs,22.7,2.70,"2,688",2.46,108.6,40.3,40.4,45.93,"2,027",752,0.75,,,,,,,,,
Rural,22.3,2.52,"2,472",2.13,95.1,37.8,38.5,44.78,"2,004",796,0.81,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Climate Zone1,,,,,,,,,,,,,,,,,,,,
"Less than 2,000 CDD and--",,,,,,,,,,,,,,,,,,,,
"Greater than 7,000 HDD",10.9,2.49,"2,534",1.29,117.9,47.4,46.5,21.67,"1,982",797,0.78,,,,,,,,,
"5,500 to 7,000 HDD",26.1,2.50,"2,346",3.00,115.0,45.9,49.0,49.37,"1,894",756,0.81,,,,,,,,,
"4,000 to 5,499 HDD",27.3,2.60,"2,205",2.78,101.7,39.1,46.1,50.74,"1,859",715,0.84,,,,,,,,,
"Fewer than 4,000 HDD",24.0,2.61,"1,966",1.83,76.4,29.2,38.8,38.05,"1,587",607,0.81,,,,,,,,,
2000 CDD or More and--,,,,,,,,,,,,,,,,,,,,
"Less than 4,000 HDD",22.8,2.60,"1,971",1.65,72.4,27.9,36.7,41.23,"1,808",696,0.92,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Type of Housing Unit and,,,,,,,,,,,,,,,,,,,,
Number of Bedrooms,,,,,,,,,,,,,,,,,,,,
Single-Family Homes,,,,,,,,,,,,,,,,,,,,
Detached,72.1,2.73,"2,720",7.81,108.4,39.7,39.8,148.42,"2,060",755,0.76,,,,,,,,,
Less than 3 Bedrooms,12.3,2.06,"1,917",1.09,89.0,43.3,46.4,20.50,"1,671",812,0.87,,,,,,,,,
3 Bedrooms,38.8,2.65,"2,568",3.91,100.9,38.1,39.3,74.63,"1,924",727,0.75,,,,,,,,,
4 Bedrooms,17.1,3.14,"3,370",2.18,127.5,40.6,37.8,41.47,"2,424",771,0.72,,,,,,,,,
5 or More Bedrooms,3.9,3.81,"3,920",0.62,160.2,42.1,40.9,11.82,"3,043",799,0.78,,,,,,,,,
Attached,7.6,2.48,"1,941",0.68,89.3,36.1,46.0,12.14,"1,598",645,0.82,,,,,,,,,
Less than 3 Bedrooms,3.5,2.03,"1,414",0.26,74.1,36.5,52.4,4.62,"1,320",650,0.93,,,,,,,,,
3 Bedrooms,3.2,2.67,"2,124",0.31,96.3,36.1,45.3,5.56,"1,753",657,0.83,,,,,,,,,
4 or More Bedrooms,0.9,3.53,"3,307",0.11,123.1,34.9,37.2,1.95,"2,116",600,0.64,,,,,,,,,
Apartments in,,,,,,,,,,,,,,,,,,,,
2 to 4 Unit Buildings,7.8,2.42,"1,090",0.66,85.0,35.1,78.0,12.06,"1,556",643,1.43,,,,,,,,,
Less than 2 Bedrooms,2.0,1.71,809,0.16,79.1,46.3,97.8,2.65,"1,346",788,1.66,,,,,,,,,
2 Bedrooms,4.3,2.45,"1,092",0.32,74.7,30.5,68.4,5.96,"1,383",565,1.27,,,,,,,,,
3 or More Bedrooms,1.5,3.29,"1,459",0.18,123.0,37.4,84.3,3.45,"2,342",712,1.60,,,,,,,,,
5 or More Unit Buildings,16.7,2.04,872,0.91,54.4,26.7,62.4,18.03,"1,077",528,1.24,,,,,,,,,
Less than 2 Bedrooms,7.9,1.47,672,0.37,46.4,31.7,69.0,7.21,914,624,1.36,,,,,,,,,
2 Bedrooms,7.4,2.34,978,0.45,60.7,25.9,62.1,8.88,"1,195",510,1.22,,,,,,,,,
3 or More Bedrooms,1.4,3.64,"1,425",0.09,66.2,18.2,46.5,1.94,"1,365",375,0.96,,,,,,,,,
Mobile Homes,6.9,2.47,"1,059",0.49,70.4,28.5,66.5,10.42,"1,501",608,1.42,,,,,,,,,
Less than 3 Bedrooms,3.5,2.05,838,0.22,63.0,30.8,75.2,4.64,"1,339",654,1.60,,,,,,,,,
3 or More Bedrooms,3.5,2.89,"1,279",0.27,77.8,26.9,60.8,5.78,"1,663",575,1.30,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Ownership of Housing Unit,,,,,,,,,,,,,,,,,,,,
Owned,78.1,2.59,"2,586",8.16,104.4,40.3,40.4,155.71,"1,994",769,0.77,,,,,,,,,
Single-Family Detached,64.1,2.67,"2,813",7.04,109.8,41.1,39.1,133.81,"2,089",782,0.74,,,,,,,,,
Single-Family Attached,4.2,2.36,"2,400",0.40,94.9,40.2,39.5,7.01,"1,682",713,0.70,,,,,,,,,
Apartments in 2-4 Unit Buildings,1.8,2.23,"1,604",0.20,110.5,49.5,68.9,3.76,"2,045",916,1.28,,,,,,,,,
Apartments in 5 or more Unit Buildings,2.3,1.65,"1,116",0.12,50.9,30.8,45.6,2.43,"1,056",640,0.95,,,,,,,,,
Mobile Homes,5.7,2.39,"1,099",0.40,70.5,29.5,64.1,8.70,"1,514",633,1.38,,,,,,,,,
Rented,33.0,2.51,"1,188",2.39,72.4,28.9,61.0,45.35,"1,375",548,1.16,,,,,,,,,
Single-Family Detached,8.0,3.17,"1,983",0.77,96.5,30.5,48.7,14.61,"1,824",576,0.92,,,,,,,,,
Single-Family Attached,3.4,2.62,"1,383",0.28,82.6,31.5,59.7,5.13,"1,495",570,1.08,,,,,,,,,
Apartments in 2-4 Unit Buildings,5.9,2.48,930,0.46,77.1,31.1,82.9,8.30,"1,404",567,1.51,,,,,,,,,
Apartments in 5 or more Unit Buildings,14.4,2.10,833,0.79,55.0,26.2,66.0,15.59,"1,080",514,1.30,,,,,,,,,
Mobile Homes,1.2,2.84,866,0.08,70.0,24.6,80.8,1.72,"1,439",506,1.66,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Year of Construction,,,,,,,,,,,,,,,,,,,,
Before 1940,14.7,2.46,"2,325",1.77,120.4,48.9,51.8,30.05,"2,047",832,0.88,,,,,,,,,
1940 to 1949,7.4,2.44,"2,047",0.77,104.0,42.7,50.8,13.41,"1,810",743,0.88,,,,,,,,,
1950 to 1959,12.5,2.43,"2,052",1.23,98.3,40.5,47.9,22.17,"1,770",729,0.86,,,,,,,,,
1960 to 1969,12.5,2.64,"1,969",1.18,94.9,35.9,48.2,21.98,"1,764",668,0.90,,,,,,,,,
1970 to 1979,18.9,2.49,"1,863",1.58,83.4,33.5,44.8,31.25,"1,654",665,0.89,,,,,,,,,
1980 to 1989,18.6,2.52,"1,992",1.51,81.4,32.3,40.9,31.31,"1,685",670,0.85,,,,,,,,,
1990 to 1999,17.3,2.80,"2,501",1.64,94.4,33.7,37.7,33.06,"1,907",680,0.76,,,,,,,,,
2000 to 2005,9.2,2.76,"2,827",0.87,94.4,34.2,33.4,17.84,"1,936",701,0.68,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Total Floorspace (Square Feet),,,,,,,,,,,,,,,,,,,,
Fewer than 500,3.2,1.90,375,0.18,56.5,29.8,150.8,3.51,"1,087",573,2.90,,,,,,,,,
500 to 999,23.8,2.14,765,1.48,62.0,29.0,81.1,29.24,"1,228",575,1.61,,,,,,,,,
"1,000 to 1,499",20.8,2.66,"1,235",1.71,82.0,30.9,66.4,32.94,"1,583",596,1.28,,,,,,,,,
"1,500 to 1,999",15.4,2.67,"1,745",1.45,93.8,35.1,53.8,27.72,"1,798",673,1.03,,,,,,,,,
"2,000 to 2,499",12.2,2.68,"2,233",1.25,102.3,38.2,45.8,23.72,"1,939",723,0.87,,,,,,,,,
"2,500 to 2,999",10.3,2.69,"2,735",1.16,112.2,41.7,41.0,22.04,"2,138",795,0.78,,,,,,,,,
"3,000 to 3,499",6.7,2.57,"3,239",0.78,115.6,45.0,35.7,14.58,"2,172",846,0.67,,,,,,,,,
"3,500 to 3,999",5.2,2.64,"3,742",0.68,129.2,48.9,34.5,12.11,"2,315",877,0.62,,,,,,,,,
"4,000 or More",13.3,3.02,"5,421",1.87,140.4,46.5,25.9,35.20,"2,639",874,0.49,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Weekday Home Activities,,,,,,,,,,,,,,,,,,,,
Home Used for Business,,,,,,,,,,,,,,,,,,,,
Yes,8.9,2.81,"2,904",1.04,117.2,41.8,40.4,20.49,"2,307",822,0.79,,,,,,,,,
No,102.2,2.55,"2,107",9.50,93.0,36.5,44.1,180.58,"1,767",693,0.84,,,,,,,,,
Energy-Intensive Activity,,,,,,,,,,,,,,,,,,,,
Yes,2.2,2.82,"2,437",0.25,110.9,39.4,45.5,4.77,"2,153",764,0.88,,,,,,,,,
No,108.9,2.56,"2,165",10.30,94.6,36.9,43.7,196.30,"1,803",703,0.83,,,,,,,,,
Someone Home All Day,,,,,,,,,,,,,,,,,,,,
Yes,56.4,2.72,"2,207",5.59,99.2,36.4,45.0,106.35,"1,886",693,0.85,,,,,,,,,
No,54.7,2.41,"2,134",4.95,90.5,37.6,42.4,94.71,"1,732",718,0.81,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"   
   1  One of five climatically distinct areas, determined according to the 30-year average (1971-2000) of the annual heating and cooling degree-days.    A household is assigned to a climate zone according to the 30-year average annual degree-days for an appropriate nearby weather station.
   2  Energy consumption and expenditures in this table excludes primary electricity and wood.
   Q = Data withheld either because the Relative Standard Error (RSE) was greater than 50 percent or fewer than 10 households were sampled.
   N = No cases in the reporting sample.
   (*) Number less than 0.5, 0.05, or 0.005 depending on the number of significant digits in the column, rounded to zero.
   Notes:  ? Because of rounding, data may not sum to totals.  ? See ""Glossary"" for definition of terms used in this report.
   Source:  Energy Information Administration, Office of Energy Markets and End Use, Forms EIA-457 A-G of the 2005 Residential Energy Consumption Survey.
   

",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
