Release date: May 2018,,,,,,,,,
"Table CE1.1  Summary annual household site consumption and expenditures in the U.S.—totals and intensities, 2015",,,,,,,,,
,Number of housing units (million),Site energy consumption1,,,,Energy expenditures1,,,
Not in metropolitan or micropolitan statistical area,7.4,586,79.7,32.0,41.3,15.08,"2,050",823,1.06
Climate region4,,,,,,,,,
Very cold/Cold,42.5,"4,004",94.2,37.8,42.3,79.60,"1,874",751,0.84
Mixed-humid,33.5,"2,705",80.7,31.4,38.9,69.92,"2,086",812,1.01
Mixed-dry/Hot-dry,12.7,660,51.8,19.3,31.1,18.89,"1,484",552,0.89
Hot-humid,22.8,"1,363",59.7,24.1,34.3,41.06,"1,800",728,1.03
Marine,6.7,382,57.3,20.8,31.1,9.86,"1,479",536,0.80
Housing unit type,,,,,,,,,
Single-family detached,73.9,"6,991",94.6,34.6,37.1,161.65,"2,188",801,0.86
Single-family attached,7.0,491,70.0,28.6,39.5,11.23,"1,602",655,0.90
Apartments in buildings with 2–4 units,9.4,503,53.5,22.3,52.5,12.48,"1,329",555,1.30
Apartments in buildings with 5 or more units,21.1,724,34.2,17.3,38.8,22.10,"1,045",529,1.18
Mobile homes,6.8,406,59.8,22.8,50.0,11.88,"1,750",666,1.46
Ownership of housing unit,,,,,,,,,
Owned,74.5,"6,825",91.6,35.4,37.1,159.90,"2,146",829,0.87
Single-family,66.2,"6,347",95.9,36.5,36.5,146.21,"2,208",840,0.84
Apartments,3.3,175,52.4,26.6,45.5,4.92,"1,476",748,1.28
Mobile homes,5.0,304,61.1,24.6,49.9,8.77,"1,768",712,1.44
Rented5,43.7,"2,289",52.4,21.2,42.7,59.43,"1,360",550,1.11
Single-family,14.7,"1,135",77.4,25.3,41.8,26.67,"1,818",594,0.98
Apartments,27.2,"1,052",38.7,18.2,43.1,29.66,"1,090",514,1.22
Mobile homes,1.8,103,56.3,18.7,50.2,3.10,"1,702",565,1.52
Year of construction,,,,,,,,,
Before 1950,20.8,"1,842",88.7,35.5,44.1,39.48,"1,901",762,0.94
1950 to 1959,12.6,"1,067",84.4,34.5,45.2,23.52,"1,861",760,1.00
1960 to 1969,12.8,961,75.0,32.0,40.0,22.50,"1,756",750,0.94
1970 to 1979,18.3,"1,290",70.3,27.9,39.8,32.36,"1,765",700,1.00
1980 to 1989,16.0,"1,053",65.7,27.3,35.9,27.99,"1,747",725,0.95
1990 to 1999,16.8,"1,317",78.3,29.1,35.9,32.57,"1,937",719,0.89
2000 to 2009,17.0,"1,328",78.2,28.0,32.7,34.21,"2,013",721,0.84
2010 to 2015,3.8,257,67.0,23.9,28.5,6.72,"1,755",626,0.75
Total square footage6,,,,,,,,,
"Fewer than 1,000",26.6,"1,072",40.3,19.9,53.8,29.91,"1,126",554,1.50
"1,000 to 1,499",26.1,"1,542",59.0,23.2,48.2,41.01,"1,569",618,1.28
"1,500 to 1,999",17.5,"1,359",77.8,30.4,44.6,33.54,"1,919",750,1.10
"2,000 to 2,499",14.1,"1,268",89.8,32.7,40.3,29.46,"2,088",759,0.94
"2,500 to 2,999",10.8,"1,111",102.9,38.5,37.7,24.65,"2,282",854,0.84
"3,000 or greater",23.1,"2,762",119.6,40.4,29.4,60.76,"2,631",888,0.65
Number of household members,,,,,,,,,
1 member,28.7,"1,591",55.3,55.3,36.6,37.91,"1,319","1,319",0.87
2 members,42.7,"3,229",75.6,37.8,36.6,78.96,"1,849",924,0.90
3 members,19.4,"1,643",84.6,28.2,39.9,39.02,"2,009",670,0.95
4 members,15.5,"1,472",94.9,23.7,40.2,35.27,"2,274",569,0.96
5 members,7.2,698,97.1,19.4,42.2,16.80,"2,338",468,1.02
6 or more members,4.6,481,103.8,15.7,42.0,11.38,"2,457",371,0.99
2015 annual household income,,,,,,,,,
"Less than $20,000",22.9,"1,303",57.0,25.9,43.1,32.47,"1,421",645,1.08
"$20,000 to $39,999",27.3,"1,882",68.9,29.3,40.7,44.49,"1,629",692,0.96
"$40,000 to $59,999",18.4,"1,354",73.6,29.9,38.7,32.73,"1,778",723,0.93
"$60,000 to $79,999",15.2,"1,218",80.0,29.9,37.0,29.55,"1,940",725,0.90
"$80,000 to $99,999",9.7,827,85.4,31.5,37.4,19.50,"2,014",741,0.88
"$100,000 to $119,999",8.1,733,90.4,30.6,34.2,17.74,"2,187",739,0.83
"$120,000 to $139,999",5.4,552,101.7,33.7,37.1,13.00,"2,396",794,0.87
"$140,000 or more",11.2,"1,244",111.2,36.8,36.0,29.87,"2,669",884,0.86
Payment method for energy bills,,,,,,,,,
All paid by household,105.8,"8,540",80.7,31.0,37.9,203.80,"1,927",740,0.90
"Some paid by household, some included in rent or condo fee",6.1,283,46.4,23.1,48.3,7.44,"1,220",607,1.27
All included in rent or condo fee,5.5,241,44.0,21.4,46.1,6.92,"1,262",614,1.32
Some other method,0.9,50,58.4,24.9,46.1,1.17,"1,369",584,1.08
Main heating fuel,,,,,,,,,
Natural gas,57.7,"5,517",95.7,37.0,43.1,108.13,"1,875",726,0.84
Electricity,40.9,"2,096",51.2,20.6,30.5,68.43,"1,672",672,1.00
Fuel oil/kerosene,5.8,645,111.2,43.6,47.9,16.94,"2,919","1,144",1.26
Propane,5.0,468,93.4,37.6,37.4,13.26,"2,645","1,066",1.06
,,,,,,,,,
"     1Consumption and expenditures for biomass (wood), coal, district steam, and solar thermal are excluded. Electricity consumption from on-site solar photovoltaic generation (i.e., solar panels) is included.
     2Total U.S. includes all primary occupied housing units in the 50 states and the District of Columbia. Vacant housing units, seasonal units, second homes, military houses, and group quarters are excluded.
     3Housing units are classified using criteria created by the U.S. Census Bureau based on 2010 Census data. Urbanized areas are densely settled groupings of blocks or tracts with 50,000 or more people. Urban clusters have at least 2,500 but less than 50,000 people. All other areas are rural.
     4These climate regions were created by the Building America program, sponsored by the U.S. Department of Energy’s Office of Energy Efficiency and Renewable Energy (EERE).     
     5Rented includes households that occupy their primary housing units without paying rent.    
     6Total square footage includes all basements, finished or conditioned (heated or cooled) areas of attics, and conditioned garage space that is attached to the home. Unconditioned and unfinished areas in attics and attached garages are excluded. The square footage for some housing units was calculated based on measurements taken by the interviewer. For households responding without the presence of an interviewer, square footage was imputed based on characteristics of the housing unit. See 2015 RECS Square Footage Methodology for full details about data collection and processing.
     Q = Data withheld because either the Relative Standard Error (RSE) was greater than 50% or fewer than 10 cases responded.
     N = No cases responded.
     Notes:  Because of rounding, data may not sum to totals.  See RECS Terminology for definition of terms used in these tables.
     Source: U.S. Energy Information Administration, Office of Energy Consumption and Efficiency Statistics, Forms EIA-457A, C, D, E, F, G of the 2015 Residential Energy Consumption Survey.",,,,,,,,,
